Cell,Group,Disease,Stage,PlotStage,Pseudotime2,MixEntropy,Batch,OXPHOS,Apoptosis
Normal_1_3_7_6_bar54,Normal,Control,S2,Elongated Sperm,9.449006622516556,0.46689278340051177,Normal_1,2.612064214063886,0.16990663785321067
Normal_1_3_7_8_bar56,Normal,Control,SPC7,Late SPC,7.227350427350427,0.05745902028655034,Normal_1,2.5999461748452903,0.27893951351797336
Normal_1_3_8_1_bar57,Normal,Control,S2,Elongated Sperm,9.250331125827815,0.6918138653199457,Normal_1,2.636611688994349,0.19626874744889788
Normal_1_3_8_3_bar59,Normal,Control,S2,Elongated Sperm,9.562913907284768,0.485460760743028,Normal_1,2.584277434655447,0.4391683354615046
Normal_1_3_8_5_bar61,Normal,Control,S2,Elongated Sperm,9.570860927152317,0.46613328272125,Normal_1,2.600259033435269,0.4579552649602083
Normal_1_3_8_6_bar62,Normal,Control,S2,Elongated Sperm,9.32185430463576,0.7192711659547665,Normal_1,2.586386221205589,0.4464360880113403
Normal_1_3_8_8_bar64,Normal,Control,S1,Round Sperm,8.172067039106144,-1.4428232973175175e-12,Normal_1,2.9783440396562058,0.3769579438743416
Normal_1_3_9_1_bar65,Normal,Control,S1,Round Sperm,8.19217877094972,0.05745902028655034,Normal_1,2.8886247963803164,0.29474165163865446
Normal_1_3_9_3_bar67,Normal,Control,S1,Round Sperm,8.256983240223462,0.5076575881791653,Normal_1,2.99359898672241,0.2339987834617911
Normal_1_3_9_5_bar69,Normal,Control,S2,Elongated Sperm,9.271523178807946,0.7192711659547665,Normal_1,2.6125072674366505,0.12507234462905778
Normal_1_3_9_6_bar70,Normal,Control,D,Late SPC,6.431627906976745,0.27071808593082797,Normal_1,2.976581175719646,0.6101673430129066
Normal_1_3_9_7_bar71,Normal,Control,D,Late SPC,6.692093023255814,0.27071808593082797,Normal_1,3.09942989299794,0.204235198248456
Normal_1_3_9_8_bar72,Normal,Control,S1,Round Sperm,8.167597765363128,-1.4428232973175175e-12,Normal_1,2.787532236646414,0.21738093701370664
Normal_1_4_1_1_bar1,Normal,Control,D,Late SPC,6.645581395348837,0.27071808593082797,Normal_1,2.7097903582584077,0.3350111469700989
