ONTOLOGY,ID,Description,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,GeneRatio,neg_log10_pvalue
BP,GO:0051494,negative regulation of cytoskeleton organization,163/18723,3.65281163011e-05,0.002357665611789,0.0019387221837403,MAP1B/RDX/PAK2/TAOK1/SPTAN1/TMSB4X/SPTBN1/PFN1/PIK3R1/SVIL/CGNL1,11,11/281,4.437372723110586
BP,GO:0019883,antigen processing and presentation of endogenous antigen,26/18723,3.73284963457e-05,0.0023677851388959,0.0019470435299028,TAPBP/HLA-C/B2M/HLA-E/HLA-B,5,5/281,4.427959503829858
BP,GO:0007062,sister chromatid cohesion,62/18723,3.86657988349e-05,0.002403815888825,0.0019766718257201,RAD21/SLF2/NIPBL/ATRX/SMC5/SMC3/PDS5B,7,7/281,4.412673012874909
BP,GO:0051495,positive regulation of cytoskeleton organization,226/18723,3.92033034328e-05,0.002403815888825,0.0019766718257201,MAP1B/WASL/ARPC2/EDN1/RAC1/CDC42/S100A10/MTSS1/CDKN1B/CFL2/PFN1/RHOC/CKAP5,13,13/281,4.406677335984916
BP,GO:0051258,protein polymerization,297/18723,4.57372634429e-05,0.0027584818394537,0.0022683157055235,MAP1B/RDX/WASL/HSP90AA1/ARPC2/RAC1/ARHGAP18/SPTAN1/TMSB4X/SPTBN1/CDKN1B/PFN1/CKAP5/SVIL/MAP7D3,15,15/281,4.339729823708318
BP,GO:0031333,negative regulation of protein-containing complex assembly,141/18723,5.42279438399e-05,0.0031778711390495,0.0026131819726837,CRYAB/RDX/SOX9/CDC42/RIOK3/SPTAN1/TMSB4X/SPTBN1/PFN1/SVIL,10,10/281,4.265776862389451
BP,GO:0002474,antigen processing and presentation of peptide antigen via MHC class I,28/18723,5.44185598695e-05,0.0031778711390495,0.0026131819726837,TAPBP/HLA-C/B2M/HLA-E/HLA-B,5,5/281,4.264252955555253
BP,GO:0051893,regulation of focal adhesion assembly,66/18723,5.81816133702e-05,0.0032753892396257,0.0026933716755653,ACTG1/SLK/RAC1/MACF1/S100A10/MAP4K4/IQGAP1,7,7/281,4.235214239980328
BP,GO:0090109,regulation of cell-substrate junction assembly,66/18723,5.81816133702e-05,0.0032753892396257,0.0026933716755653,ACTG1/SLK/RAC1/MACF1/S100A10/MAP4K4/IQGAP1,7,7/281,4.235214239980328
BP,GO:0010452,histone H3-K36 methylation,15/18723,5.95008609456e-05,0.0032753892396257,0.0026933716755653,SETD2/SETD5/ASH1L/BRD4,4,4/281,4.225476750217363
BP,GO:0034968,histone lysine methylation,115/18723,5.96496545406e-05,0.0032753892396257,0.0026933716755653,LMNA/SETD2/RTF1/ATRX/SETD5/ASH1L/BRD4/RIF1/KMT2A,9,9/281,4.224392067191386
BP,GO:0070527,platelet aggregation,67/18723,6.41457583042e-05,0.003470474188257,0.0028537911666644,ACTG1/HSPB1/CLIC1/IL6ST/MYH9/MYL9/CD9,7,7/281,4.1928320564517225
BP,GO:0048863,stem cell differentiation,206/18723,6.87478010731e-05,0.0036655530456245,0.0030142056488819,OCIAD1/MEF2C/SOX9/PTN/EDN1/SETD2/STAT3/DHX36/ZFP36L2/XRCC5/PRKDC/N4BP2L2,12,12/281,4.162741188364484
BP,GO:0072594,establishment of protein localization to organelle,422/18723,7.42128240338e-05,0.0039004139945772,0.0032073331770404,CALM1/LAMP2/APPL2/HSP90AA1/HSP90AB1/LMNA/NIPBL/STAT3/TXNIP/PTTG1IP/LMAN1/RANBP2/SRP54/PPP1R10/BNIP3L/PIK3R1/TSPO/ZFYVE16,18,18/281,4.129521041811426
BP,GO:0061647,histone H3-K9 modification,48/18723,7.83095387406e-05,0.0040577576482667,0.0033367177811816,LMNA/ATRX/SETD5/ASH1L/RIF1/KMT2A,6,6/281,4.106185334109438
BP,GO:0006479,protein methylation,181/18723,9.44421300568e-05,0.004759624609302,0.0039138670769042,LMNA/FAM98A/SETD2/RTF1/ATRX/SETD5/PCMTD1/ASH1L/BRD4/RIF1/KMT2A,11,11/281,4.024834226363724
