gene,ctrl,disease,log2fc
ABCA13,0.0293649719836275,0.0206506539635461,-0.5078880605532701
ABCA17P,1.597338943331294,2.073456985726249,0.37636743687798113
ABCA2,0.0064880690674804,0.0070159546334058,0.11283351334443968
ABCA3,0.0238480050261508,0.0329343041434963,0.4657057942084965
ABCA4,0.0068981501927336,0.0015526647984745,-2.1507433905446516
ABCA5,1.5588749795011938,1.1661368214702197,-0.418767849834787
ABCA6,0.0510268016974951,0.0536559226519382,0.07248082403115036
ABCA7,0.0036365772675638,0.0092985806916968,1.3541877747468132
ABCA8,0.0132177978197767,0.0264811965421578,1.0024318128847067
ABCA9,0.0511343016545596,0.0665461759155563,0.3800578324197744
ABCA9-AS1,0.0032789322066048,0.0005237308046509,-2.6440166039817306
ABCB1,0.0185966374306637,0.0053896946705871,-1.7865762561528995
ABCB10,0.0455771515776143,0.0472180817098349,0.05102756783896674
ABCB10P1,0.0018769408735331,0.0018230604255625,-0.04199811845473225
ABCB10P3,0.0,0.0004133010619844,8.694535708179375
ABCB10P4,0.0009813766646251,0.0012062149456795,0.2973343756304802
ABCB11,0.0032698821797773,0.0057306650875872,0.8092745194295511
ABCB4,0.1215387241259873,0.0434826748761756,-1.48288214719531
ABCB5,0.00109637786135,0.0061860099064412,2.495181967861951
ABCB6,0.0011342443965117,0.0009191087963109,-0.3031265509560077
ABCB7,0.0252193314790829,0.0333493910189334,0.4031164388808666
ABCB8,0.1048325865722448,0.1214843587699529,0.21268145150119516
ABCB9,0.065452234240095,0.1158314718113748,0.8235033599649556
ABCC1,0.1332651399834707,0.1143889531041579,-0.22034992423110542
ABCC10,0.0147871368246131,0.0177697000262048,0.26506021637593813
ABCC11,0.2134048314790445,0.1955634720291137,-0.12595529809743136
ABCC12,0.361071654588272,0.21877558310629,-0.7228308370228949
ABCC13,0.0,0.0003958123872418,8.632313252629991
ABCC2,0.0183329621844846,0.0179866943287614,-0.027508329807661366
ABCC3,0.0026497265707252,0.0091990743079318,1.79525765352717
ABCC4,0.0213890577581366,0.011135258927652,-0.941675717523999
ABCC5,0.0249031380678903,0.0401189717174715,0.6879351087187345
ABCC5-AS1,0.0,0.0,0.0
ABCC6,0.0082500356073079,0.0037205006618625,-1.148690714312352
ABCC6P1,0.0013893886856373,0.0004726489462707,-1.553598167277789
ABCC6P2,0.0,0.0,0.0
ABCC8,0.0011172306479556,0.004138302572077,1.8881699182674847
ABCC9,0.00109637786135,0.0054055779603929,2.3006553673831647
ABCD1,0.0049464233319294,0.0104951187992909,1.085106698423132
ABCD2,0.0078645819315452,0.0055018237860637,-0.5153813759664964
ABCD3,0.0882392944788586,0.1097301790259594,0.31446400080793213
ABCD4,0.1888486811638734,0.2217302549780006,0.23157379707365972
ABCE1,0.7003378698436531,0.574869579426784,-0.2848159626309537
ABCF1,1.72200577964168,1.360509202690892,-0.33994304708418543
ABCF2,0.2721106943215122,0.0243132718240593,-3.4843236686580674
ABCF2-2,0.212846629179904,0.2874349796723281,0.43341964117925186
ABCF3,0.1886271727420733,0.2563196844508114,0.4424047380693653
ABCG1,0.0046619928091615,0.0030160380095673,-0.6281233327756297
ABCG2,0.0047379435464711,0.0107074498852356,1.1761122762985357
ABCG4,0.0724579843661083,0.0655155903488025,-0.14530430676140466
ABCG5,0.005216878426881,0.0045253145579445,-0.20512648197886693
ABCG8,0.0011471465426055,0.0,-10.165091075454171
ABHD1,0.36583883162583,0.5831835592788299,0.6727403622966968
ABHD10,0.4988130167571646,0.4530096197008777,-0.13895713466413928
ABHD11,0.0380179866212096,0.039568029323646,0.05765159656386352
ABHD11-AS1,0.0,0.0,0.0
ABHD12,0.1406644556256494,0.1412918718837786,0.006420607088831295
ABHD12B,0.0,0.0034613450497596,11.757533792373946
ABHD13,0.1304101632799222,0.130781200838722,0.004098836185499096
ABHD14A,0.0975688582222754,0.1247212779932462,0.35421174650396653
ABHD14B,0.0014898382068875,0.0044097053935073,1.5648857032454753
ABHD15,0.0234322387264222,0.0268541940348417,0.19664478132648294
ABHD15-AS1,0.0182374381109656,0.0,-14.154694565957476
ABHD16A,0.0154556700946476,0.0186625450247867,0.27199349725376104
ABHD16B,0.0,0.0042459500433537,12.052211423102579
ABHD17A,0.0502622234663266,0.2153151243208515,2.0988812604732785
ABHD17AP3,0.0,0.0025125002867998,11.295482138312286
ABHD17AP4,0.0,0.0,0.0
ABHD17AP5,0.0,0.0,0.0
ABHD17AP6,0.002353661893622,0.0025243418273229,0.1009587647629111
ABHD17B,0.1632704815127549,0.2147196654736598,0.395188229313944
ABHD17C,0.0,0.0107314280497169,13.389688880528565
ABHD18,0.1284123515615135,0.1217970311158647,-0.0763043999981827
ABHD2,1.1975505449431658,1.1656393406495351,-0.038965041315230355
ABHD3,0.017057454122237,0.0325406290992949,0.9317995649116705
ABHD4,0.0122587660701093,0.0250640451086136,1.0317453794113502
ABHD5,0.5035599549165602,0.4641561172545662,-0.11755318326433313
ABHD6,0.0016025562957083,0.0079313998566471,2.3064823997589046
ABHD8,0.0695735236164845,0.1387190232842843,0.9955450153997252
ABI1,0.1899161061415294,0.3008169860723835,0.6635209719018654
ABI2,0.7165199636714317,0.7398631320745797,0.04625144508432822
ABI3,0.002878465178907,0.0021119567712983,-0.4465376240996514
ABI3BP,0.0057428615895845,0.0196088187196155,1.7714833088638708
