cell_type,avg_expr,pct_expr,gene
Lym,0.21152241955690854,0.1412556053811659,CD14
Myeloid,0.5769110361272815,0.2546596714068756,CD14
SPCs,0.008069875276889812,0.008836826962597617,CD14
SPGs,0.00963526985658038,0.009295840111550081,CD14
SSCs,0.009180413729276608,0.008655453919543622,CD14
STs,0.03907351349708686,0.04598981540420115,CD14
Spermatids,0.005160704904696343,0.006145175527941875,CD14
ECs,0.254249404296655,0.1780821917808219,MRC1
LCs,0.02855865165704887,0.02180349932705249,MRC1
Lym,0.2875714396949306,0.17040358744394618,MRC1
Myeloid,0.5105727449826867,0.2131023056744443,MRC1
SPCs,0.01942303102881488,0.02024249897246198,MRC1
SPGs,0.025672147675998926,0.026493144317917734,MRC1
SSCs,0.09051861777481011,0.08035802104849021,MRC1
STs,0.473375899955526,0.439528962444303,MRC1
Spermatids,0.07337304663413685,0.07815576831669722,MRC1
ECs,0.03761017238741395,0.02343186733958183,C1QC
LCs,0.013698649331559617,0.010767160161507403,C1QC
Lym,0.2818527944686701,0.17488789237668162,C1QC
Myeloid,0.5614580853068004,0.22193842330526026,C1QC
SPCs,0.00578539305589741,0.006678997122893547,C1QC
SPGs,0.006927585999355631,0.007669068092028817,C1QC
SSCs,0.0062665540383865055,0.005901445854234287,C1QC
STs,0.013471678807563192,0.016231699554423933,C1QC
Spermatids,0.004718361162253793,0.005364296869695118,C1QC
ECs,0.0530954837240413,0.03280461427541456,AIF1
LCs,0.01845956350078814,0.014356213548676536,AIF1
Lym,0.3960366190281684,0.23766816143497757,AIF1
Myeloid,0.773423704540764,0.3009112246306779,AIF1
SPCs,0.006808745344443131,0.006987258528565557,AIF1
SPGs,0.006825672736590113,0.006274692075296305,AIF1
SSCs,0.011507018085917598,0.010425887675813908,AIF1
STs,0.014216185545632977,0.01718650541056652,AIF1
Spermatids,0.004564741825332157,0.0050247844095878316,AIF1
ECs,0.043499278308851905,0.027036770007209804,PTPRC
LCs,0.014377363964066263,0.010587707492148945,PTPRC
Lym,0.9694457247251888,0.5426008968609866,PTPRC
Myeloid,0.5659156159300938,0.2706751346127295,PTPRC
SPCs,0.01201735084292284,0.01310110974106042,PTPRC
SPGs,0.0074834082740532805,0.007204276086451313,PTPRC
SSCs,0.018223730555393943,0.015343759221009147,PTPRC
STs,0.06754453322078907,0.08696690006365372,PTPRC
Spermatids,0.016861348601573272,0.0179262578936647,PTPRC
ECs,0.008396576077455054,0.005046863734679163,CD3D
LCs,0.0041322748401123295,0.003050695379093764,CD3D
Lym,0.4593381919133824,0.1860986547085202,CD3D
Myeloid,0.00979214772555309,0.006350959547148972,CD3D
SPCs,0.001968550895816546,0.002055076037813399,CD3D
SPGs,0.0014515863084360913,0.0016267720195212642,CD3D
SSCs,0.04076097914576237,0.03255630962919249,CD3D
STs,0.0026220227766575745,0.0024665817950350094,CD3D
Spermatids,0.0033991863103556264,0.0037006858151694168,CD3D
ECs,0.002427195892457749,0.0021629416005767843,CD79A
LCs,0.0035818198648147276,0.002781516375056079,CD79A
Lym,0.803978681564331,0.3744394618834081,CD79A
Myeloid,0.003590243508370397,0.00220902940770399,CD79A
SPCs,0.0013777073771312704,0.0016954377311960542,CD79A
SPGs,0.003723612904908794,0.004183128050197537,CD79A
SSCs,0.0015910441889293405,0.0014753614635585719,CD79A
STs,0.0013133140338939288,0.0011935073201782304,CD79A
Spermatids,0.00035304017579991813,0.00044136619813947174,CD79A
ECs,0.5056566948738559,0.28370583994232157,ACTA2
LCs,0.725816625450266,0.3579183490354419,ACTA2
Lym,0.27845293363648144,0.1591928251121076,ACTA2
Myeloid,2.1027135420768084,0.616112108242441,ACTA2
SPCs,0.043265137989862534,0.04932182490752158,ACTA2
SPGs,0.0573281086989954,0.06135254473623054,ACTA2
SSCs,0.05644982947681322,0.05321137011901249,ACTA2
STs,0.07965620461303591,0.07558879694462126,ACTA2
Spermatids,0.040661043887097244,0.046377402050655256,ACTA2
ECs,0.2771265652855266,0.17267483777937995,MYH11
LCs,1.3922800016488768,0.606280843427546,MYH11
Lym,0.10689439046543275,0.08071748878923767,MYH11
